STEP,X,Y
0,0.3347,3.2996
0,6.9064,4.2249
0,2.0627,2.5013
0,6.3656,8.6362
0,3.0166,0.2492
0,3.6499,7.6538
0,3.1786,1.3573
0,1.0675,7.6067
0,0.8167,5.5096
0,5.6465,7.4327
0,9.8176,2.1885
0,4.5440,5.1865
0,5.7384,5.5523
0,7.2855,6.2887
0,7.9613,5.8372
0,2.7477,8.2960
0,9.1368,9.6540
0,2.5208,1.1995
0,2.1553,8.8864
0,9.8357,5.1719
0,9.1357,3.4856
0,2.8257,2.3143
0,4.8429,3.8931
0,9.9210,5.6596
0,9.4027,5.5675
0,3.0923,9.2203
0,7.7560,7.6363
0,4.4068,3.4944
0,3.1886,1.6923
0,9.7832,1.1499
0,7.5294,2.5308
0,9.4458,6.6662
0,2.1848,1.9667
0,7.8657,4.3402
0,0.8531,7.7014
0,9.5120,9.9888
0,1.1870,2.3377
0,2.3031,6.0299
0,6.2308,2.2241
0,1.6895,5.6335
1000,2.0793,4.8856
1000,6.9064,4.2249
1000,5.2051,4.2529
1000,8.1100,9.2293
1000,3.7988,2.4204
1000,3.7020,7.3707
1000,6.1427,3.2538
1000,0.6737,6.5232
1000,0.7960,3.9126
1000,5.6465,7.4327
1000,6.9328,0.8505
1000,6.5431,5.7731
1000,5.3240,5.7236
1000,4.2518,4.8635
1000,7.5409,5.1674
1000,2.7477,8.2960
1000,6.2043,9.2497
1000,2.5687,2.2756
1000,4.4233,8.9313
1000,9.6661,5.9813
1000,6.7408,7.1530
1000,3.2406,3.6246
1000,1.7141,5.9293
1000,8.7314,5.2900
1000,7.6356,8.2164
1000,3.1197,9.5604
1000,4.0885,6.0611
1000,4.4068,3.4944
1000,4.5722,1.6550
1000,9.8515,1.0948
1000,7.7498,3.6083
1000,8.6044,6.8668
1000,3.1736,5.0604
1000,5.3298,8.3618
1000,2.4156,7.1722
1000,7.5517,6.5157
1000,1.8345,3.1737
1000,2.8419,6.0432
1000,6.1950,2.0203
1000,1.3608,7.6108
2000,2.0020,4.6925
2000,6.1973,4.5706
2000,5.2051,4.2529
2000,7.6755,9.0988
2000,3.7086,2.4673
2000,3.7020,7.3707
2000,6.1427,3.2538
2000,0.6737,6.5232
2000,0.7960,3.9126
2000,5.7801,7.1714
2000,8.9180,2.9547
2000,6.5431,5.7731
2000,5.2698,5.6776
2000,4.2518,4.8635
2000,7.5949,5.1861
2000,2.7637,8.2997
2000,4.8117,6.9225
2000,2.5687,2.2756
2000,4.2914,8.9854
2000,9.5766,5.9957
2000,6.7408,7.1530
2000,3.2406,3.6246
2000,1.7141,5.9293
2000,8.7314,5.2900
2000,7.6233,7.8548
2000,3.0811,9.3450
2000,4.0885,6.0611
2000,4.4068,3.4944
2000,9.0550,4.0099
2000,9.5972,1.7880
2000,7.7498,3.6083
2000,8.6044,6.8668
2000,3.1736,5.0604
2000,5.3298,8.3618
2000,2.4156,7.1722
2000,7.5556,6.4384
2000,1.8345,3.1737
2000,2.8419,6.0432
2000,7.7585,2.2536
2000,1.3608,7.6108
3000,2.1447,4.5814
3000,6.1973,4.5706
3000,5.2051,4.2529
3000,8.9707,8.1326
3000,3.7642,2.5618
3000,3.6593,7.3231
3000,6.0059,3.3912
3000,0.6737,6.5232
3000,0.9289,5.2753
3000,5.7801,7.1714
3000,8.6564,2.7471
3000,6.5431,5.7731
3000,5.2698,5.6776
3000,4.2518,4.8635
3000,7.5253,5.1277
3000,2.7637,8.2997
3000,4.8117,6.9225
3000,2.5687,2.2756
3000,4.2914,8.9854
3000,9.4250,6.1508
3000,6.7408,7.1530
3000,3.2406,3.6246
3000,1.7141,5.9293
3000,8.7314,5.2900
3000,7.6233,7.8548
3000,3.0811,9.3450
3000,4.0885,6.0611
3000,4.4068,3.4944
3000,9.0550,4.0099
3000,9.1855,1.7322
3000,7.7498,3.6083
3000,8.6044,6.8668
3000,3.1736,5.0604
3000,5.2370,8.3505
3000,2.4156,7.1722
3000,7.5556,6.4384
3000,1.9445,3.2176
3000,2.8065,6.1558
3000,7.3064,2.4132
3000,1.3608,7.6108
4000,2.1447,4.5814
4000,6.1973,4.5706
4000,5.2051,4.2529
4000,6.1956,8.6039
4000,3.7642,2.5618
4000,3.5988,7.3209
4000,6.0059,3.3912
4000,0.6737,6.5232
4000,0.7817,5.2974
4000,5.7801,7.1714
4000,8.6564,2.7471
4000,6.5121,5.9301
4000,5.2698,5.6776
4000,4.2518,4.8635
4000,7.5307,5.1232
4000,2.8152,8.2474
4000,4.8117,6.9225
4000,2.5687,2.2756
4000,4.2914,8.9854
4000,9.4250,6.1508
4000,6.7408,7.1530
4000,3.0781,3.7044
4000,1.7141,5.9293
4000,8.6520,5.0710
4000,7.6233,7.8548
4000,3.0811,9.3450
4000,4.0885,6.0611
4000,4.4068,3.4944
4000,8.8878,3.8993
4000,9.1855,1.7322
4000,7.7498,3.6083
4000,8.6044,6.8668
4000,3.1736,5.0604
4000,5.2370,8.3505
4000,2.4156,7.1722
4000,7.5556,6.4384
4000,1.9830,3.2608
4000,2.8065,6.1558
4000,7.5512,2.4338
4000,1.3608,7.6108
5000,2.0002,4.8044
5000,6.1714,4.7031
5000,5.2051,4.2529
5000,6.4526,8.1783
5000,3.7642,2.5618
5000,3.6495,7.3219
5000,6.0059,3.3912
5000,0.6737,6.5232
5000,0.7817,5.2974
5000,5.7290,7.2102
5000,8.6564,2.7471
5000,6.4191,5.9659
5000,5.2698,5.6776
5000,4.2518,4.8635
5000,7.4535,5.1231
5000,2.8152,8.2474
5000,4.8117,6.9225
5000,2.5687,2.2756
5000,4.2914,8.9854
5000,9.2973,5.9839
5000,6.7408,7.1530
5000,3.1915,3.8785
5000,1.7141,5.9293
5000,8.6352,5.0903
5000,7.6060,7.8278
5000,3.0811,9.3450
5000,4.0885,6.0611
5000,4.4068,3.4944
5000,8.8878,3.8993
5000,9.8965,3.1728
5000,7.7498,3.6083
5000,8.6044,6.8668
5000,3.1736,5.0604
5000,5.2370,8.3505
5000,2.4156,7.1722
5000,7.5556,6.4384
5000,2.0385,3.3312
5000,2.8065,6.1558
5000,7.5512,2.4338
5000,1.3608,7.6108
6000,2.0002,4.8044
6000,6.1714,4.7031
6000,5.2051,4.2529
6000,6.4526,8.1783
6000,3.6979,2.6622
6000,3.6495,7.3219
6000,6.4096,3.3648
6000,0.6737,6.5232
6000,0.7817,5.2974
6000,5.7290,7.2102
6000,8.6564,2.7471
6000,6.4191,5.9659
6000,5.2698,5.6776
6000,4.2862,4.9076
6000,7.4535,5.1231
6000,2.8442,8.1947
6000,4.8117,6.9225
6000,2.5687,2.2756
6000,4.2914,8.9854
6000,9.2973,5.9839
6000,6.7408,7.1530
6000,3.1915,3.8785
6000,1.7141,5.9293
6000,8.6352,5.0903
6000,7.6045,7.8012
6000,3.0811,9.3450
6000,4.0885,6.0611
6000,4.2323,3.6269
6000,8.8878,3.8993
6000,5.0893,2.7085
6000,7.7498,3.6083
6000,8.6044,6.8668
6000,3.1736,5.0604
6000,5.2145,8.1408
6000,2.4156,7.1722
6000,7.5556,6.4384
6000,2.0385,3.3312
6000,2.8065,6.1558
6000,7.5512,2.4338
6000,1.3608,7.6108
7000,2.0002,4.8044
7000,6.2838,4.7159
7000,5.2051,4.2529
7000,6.4526,8.1783
7000,3.6979,2.6622
7000,3.6495,7.3219
7000,6.3844,3.4927
7000,0.6737,6.5232
7000,0.7817,5.2974
7000,5.7366,7.2137
7000,6.2611,2.1710
7000,6.4191,5.9659
7000,5.2698,5.6776
7000,4.2862,4.9076
7000,7.3926,5.2333
7000,2.8442,8.1947
7000,4.8117,6.9225
7000,2.5687,2.2756
7000,4.2681,8.9788
7000,9.2973,5.9839
7000,6.7408,7.1530
7000,3.1915,3.8785
7000,1.7141,5.9293
7000,8.6352,5.0903
7000,7.6045,7.8012
7000,3.0811,9.3450
7000,3.9466,6.1058
7000,4.2323,3.6269
7000,8.9021,3.9426
7000,5.0893,2.7085
7000,7.8108,4.1123
7000,8.6044,6.8668
7000,3.1736,5.0604
7000,5.2145,8.1408
7000,2.4156,7.1722
7000,7.5556,6.4384
7000,2.0385,3.3312
7000,2.8065,6.1558
7000,7.2938,2.9071
7000,1.3608,7.6108
8000,2.0002,4.8044
8000,6.2838,4.7159
8000,5.2051,4.2529
8000,6.3975,8.2218
8000,3.6979,2.6622
8000,3.6495,7.3219
8000,6.3844,3.4927
8000,0.6737,6.5232
8000,0.7817,5.2974
8000,5.7366,7.2137
8000,6.2611,2.1710
8000,6.4191,5.9659
8000,5.2698,5.6776
8000,4.2862,4.9076
8000,7.3926,5.2333
8000,2.8442,8.1947
8000,4.8117,6.9225
8000,2.5687,2.2756
8000,4.2477,8.8062
8000,9.3011,5.9855
8000,6.7408,7.1527
8000,3.1915,3.8785
8000,1.7141,5.9293
8000,8.5715,5.1486
8000,7.6045,7.8012
8000,3.0811,9.3450
8000,3.9466,6.1058
8000,4.2634,3.6813
8000,8.9021,3.9426
8000,5.2869,3.0131
8000,7.8108,4.1123
8000,8.6044,6.8668
8000,3.1736,5.0604
8000,5.2145,8.1408
8000,2.4156,7.1722
8000,7.5765,6.3884
8000,2.0385,3.3312
8000,2.8065,6.1558
8000,7.2938,2.9071
8000,1.3403,7.5664
9000,2.0002,4.8044
9000,6.2838,4.7159
9000,5.2729,4.2614
9000,6.3975,8.2218
9000,3.6979,2.6622
9000,3.6700,7.2429
9000,6.3844,3.4927
9000,0.6737,6.5232
9000,0.7817,5.2974
9000,5.7366,7.2137
9000,6.2611,2.1710
9000,6.4191,5.9659
9000,5.2658,5.6813
9000,4.2862,4.9076
9000,7.3926,5.2333
9000,2.8442,8.1947
9000,4.8117,6.9225
9000,2.5687,2.2756
9000,4.1546,8.7433
9000,9.3011,5.9855
9000,6.7408,7.1527
9000,3.1915,3.8785
9000,1.7141,5.9293
9000,8.5715,5.1486
9000,7.6045,7.8012
9000,3.0811,9.3450
9000,3.9466,6.1058
9000,4.2634,3.6813
9000,8.9021,3.9426
9000,5.2869,3.0131
9000,7.2775,4.0608
9000,8.6011,6.8767
9000,3.1736,5.0604
9000,5.2145,8.1408
9000,2.4156,7.1722
9000,7.5765,6.3884
9000,1.9914,3.4748
9000,2.8065,6.1558
9000,7.2938,2.9071
9000,1.3403,7.5664
10000,2.0002,4.8044
10000,6.3733,4.7622
10000,5.2729,4.2614
10000,6.3975,8.2218
10000,3.6979,2.6622
10000,3.6637,7.2420
10000,6.3844,3.4927
10000,0.6737,6.5232
10000,0.7817,5.2974
10000,5.7366,7.2137
10000,6.2611,2.1710
10000,6.4191,5.9659
10000,5.2418,5.6537
10000,4.2862,4.9076
10000,7.3926,5.2333
10000,2.8645,8.2136
10000,4.8117,6.9225
10000,2.5154,2.4051
10000,4.1546,8.7433
10000,9.3011,5.9855
10000,6.7408,7.1527
10000,3.1915,3.8785
10000,1.7141,5.9293
10000,8.5715,5.1486
10000,7.6045,7.8012
10000,3.0811,9.3450
10000,3.9466,6.1058
10000,4.3329,3.7200
10000,8.8078,3.9262
10000,5.2869,3.0131
10000,7.5833,4.0083
10000,8.6011,6.8767
10000,3.1736,5.0604
10000,5.2125,8.1398
10000,2.4156,7.1722
10000,7.5765,6.3884
10000,1.9914,3.4748
10000,2.8065,6.1558
10000,7.2938,2.9071
10000,1.3403,7.5664
11000,2.0002,4.8044
11000,6.3733,4.7622
11000,5.2729,4.2614
11000,6.3975,8.2218
11000,3.6979,2.6622
11000,3.6604,7.2256
11000,6.2954,3.6439
11000,0.6737,6.5232
11000,0.7817,5.2974
11000,5.7366,7.2137
11000,6.2611,2.1710
11000,6.4191,5.9659
11000,5.2418,5.6537
11000,4.2862,4.9076
11000,7.3926,5.2333
11000,2.8645,8.2136
11000,4.8117,6.9225
11000,2.5154,2.4051
11000,4.1330,8.1589
11000,9.3011,5.9855
11000,6.7408,7.1527
11000,3.1915,3.8785
11000,1.7141,5.9293
11000,8.5715,5.1486
11000,7.7015,7.7408
11000,3.5382,9.2809
11000,3.9839,6.0002
11000,4.3329,3.7200
11000,8.8282,3.9763
11000,5.2869,3.0131
11000,7.5833,4.0083
11000,8.6011,6.8767
11000,3.1736,5.0604
11000,5.2125,8.1398
11000,2.4156,7.1722
11000,7.5765,6.3884
11000,1.9914,3.4748
11000,2.8065,6.1558
11000,7.2938,2.9071
11000,1.3403,7.5664
12000,2.0002,4.8044
12000,6.3733,4.7622
12000,5.2729,4.2614
12000,6.3975,8.2218
12000,3.7344,2.8399
12000,3.6037,7.1771
12000,6.2954,3.6439
12000,0.6737,6.5232
12000,0.7906,5.2487
12000,5.7366,7.2137
12000,6.2271,2.2091
12000,6.4191,5.9659
12000,5.2418,5.6537
12000,4.2862,4.9076
12000,7.3926,5.2333
12000,2.8691,8.2304
12000,4.8117,6.9225
12000,2.5154,2.4051
12000,4.1344,8.1630
12000,9.3011,5.9855
12000,6.7408,7.1527
12000,3.1915,3.8785
12000,1.7141,5.9293
12000,8.5715,5.1486
12000,7.7015,7.7408
12000,3.6853,9.2340
12000,3.9839,6.0002
12000,4.3329,3.7200
12000,8.8282,3.9763
12000,5.2869,3.0131
12000,7.5833,4.0083
12000,8.6011,6.8767
12000,3.1736,5.0604
12000,5.2125,8.1398
12000,2.4156,7.1722
12000,7.5765,6.3884
12000,1.9914,3.4748
12000,2.8065,6.1558
12000,7.2938,2.9071
12000,1.3403,7.5664
13000,2.0002,4.8044
13000,6.3733,4.7622
13000,5.3525,4.3702
13000,6.3975,8.2218
13000,3.7046,2.7658
13000,3.6037,7.1771
13000,6.2954,3.6439
13000,0.7399,6.5642
13000,0.7906,5.2487
13000,5.7366,7.2137
13000,6.2271,2.2091
13000,6.4191,5.9659
13000,5.2418,5.6537
13000,4.2862,4.9076
13000,7.4110,5.2334
13000,2.8691,8.2304
13000,4.8117,6.9225
13000,2.5154,2.4051
13000,4.1344,8.1630
13000,9.3011,5.9855
13000,6.7408,7.1527
13000,3.1915,3.8785
13000,1.7141,5.9293
13000,8.5715,5.1486
13000,7.7015,7.7408
13000,3.6672,9.1849
13000,3.9839,6.0002
13000,4.3386,3.7728
13000,8.3459,3.5040
13000,5.2746,3.0151
13000,7.4211,4.1510
13000,8.6011,6.8767
13000,3.1736,5.0604
13000,5.2125,8.1398
13000,2.4156,7.1722
13000,7.5765,6.3884
13000,2.1565,3.4851
13000,2.8065,6.1558
13000,7.2885,2.9184
13000,1.3403,7.5664
14000,2.0155,4.7909
14000,6.3733,4.7622
14000,5.3525,4.3702
14000,6.3975,8.2218
14000,3.7046,2.7658
14000,3.6037,7.1771
14000,6.3612,3.6026
14000,0.7715,6.5271
14000,0.7906,5.2487
14000,5.7176,6.9149
14000,6.2295,2.2110
14000,6.4191,5.9659
14000,5.2418,5.6537
14000,4.2862,4.9076
14000,7.3811,5.2848
14000,2.8691,8.2304
14000,4.7281,7.1573
14000,4.5509,2.0392
14000,4.1344,8.1630
14000,9.3011,5.9855
14000,6.7814,7.1170
14000,3.1915,3.8785
14000,1.7141,5.9293
14000,8.5837,5.1078
14000,7.7015,7.7408
14000,4.8952,9.2250
14000,3.9839,6.0002
14000,4.3386,3.7728
14000,8.3721,3.6172
14000,5.2727,3.1266
14000,7.4211,4.1510
14000,8.6011,6.8767
14000,3.1736,5.0604
14000,5.2125,8.1398
14000,2.4156,7.1722
14000,7.5765,6.3884
14000,2.0327,3.5645
14000,2.8065,6.1558
14000,7.2885,2.9184
14000,1.3403,7.5664
15000,2.0155,4.7909
15000,6.3733,4.7622
15000,5.3525,4.3702
15000,6.3975,8.2218
15000,3.7046,2.7658
15000,3.6037,7.1771
15000,6.3612,3.6026
15000,0.7715,6.5271
15000,0.7906,5.2487
15000,5.7176,6.9149
15000,6.2295,2.2110
15000,6.4191,5.9659
15000,5.2418,5.6537
15000,4.2862,4.9076
15000,7.3811,5.2848
15000,2.8691,8.2304
15000,4.6670,6.9998
15000,4.5509,2.0392
