STEP,X,Y
0,8.4019,3.9438
0,7.8310,7.9844
0,9.1165,1.9755
0,3.3522,7.6823
0,2.7777,5.5397
0,4.7740,6.2887
0,3.6478,5.1340
0,9.5223,9.1620
0,6.3571,7.1730
0,1.4160,6.0697
0,0.1630,2.4289
0,1.3723,8.0418
0,1.5668,4.0094
0,1.2979,1.0881
0,9.9892,2.1826
0,5.1293,8.3911
0,6.1264,2.9603
0,6.3755,5.2429
0,4.9358,9.7278
0,2.9252,7.7136
0,5.2674,7.6991
0,4.0023,8.9153
0,2.8331,3.5246
0,8.0772,9.1903
0,0.6976,9.4933
0,5.2600,0.8606
0,1.9221,6.6323
0,8.9023,3.4889
0,0.6417,0.2002
0,4.5770,0.6310
0,2.3828,9.7063
0,9.0221,8.5092
0,2.6667,5.3976
0,3.7521,7.6025
0,5.1254,6.6772
0,5.3161,0.3928
0,4.3764,9.3184
0,9.3081,7.2095
0,2.8429,7.3853
0,6.3998,3.5405
1000,9.2480,1.8003
1000,8.4391,2.2959
1000,6.2779,5.9475
1000,4.7152,4.6369
1000,5.1615,1.4539
1000,9.3891,3.3304
1000,8.3421,0.0737
1000,9.5372,4.2284
1000,5.1397,6.1001
1000,6.2939,5.0025
1000,1.3558,1.9618
1000,3.6137,6.7248
1000,2.9501,0.3762
1000,8.9777,7.3774
1000,5.9829,1.3448
1000,8.0433,3.6018
1000,0.1464,5.4954
1000,9.6927,6.1778
1000,5.4230,9.7163
1000,1.6827,3.5726
1000,2.3763,4.4570
1000,4.5534,8.8298
1000,0.8510,4.6567
1000,6.4523,6.8061
1000,4.2926,1.8141
1000,5.5819,2.6982
1000,7.9931,6.1586
1000,2.1771,1.7303
1000,0.1381,0.6980
1000,3.0051,5.9975
1000,2.1039,6.9362
1000,8.3166,8.3612
1000,6.2996,8.8763
1000,4.5490,3.4734
1000,5.9947,7.8038
1000,7.0444,2.5264
1000,8.9927,5.7234
1000,3.9431,5.4515
1000,8.1266,1.4652
1000,7.2837,4.5552
2000,6.4262,4.9827
2000,5.3680,1.2222
2000,7.8345,0.0623
2000,1.9171,8.9080
2000,3.4790,5.3104
2000,7.5255,4.0545
2000,6.5614,6.1146
2000,4.8451,7.3188
2000,2.8117,6.3509
2000,0.6009,3.0679
2000,1.2133,1.8293
2000,4.5449,0.0571
2000,2.7646,0.0290
2000,9.2282,8.4878
2000,4.6375,2.4067
2000,7.4481,5.0929
2000,0.0258,2.3433
2000,8.4634,3.4672
2000,7.3175,6.9852
2000,4.7460,4.6075
2000,0.0678,9.5118
2000,3.4300,0.7436
2000,3.3912,2.6988
2000,7.9814,9.6507
2000,7.5141,8.2420
2000,0.9769,8.4161
2000,9.3673,7.0947
2000,5.9772,3.9707
2000,0.1381,0.6980
2000,3.6806,9.6715
2000,1.1167,5.1997
2000,5.8560,7.9006
2000,5.3167,8.6150
2000,1.7526,0.9027
2000,2.3872,5.0242
2000,5.4139,9.3981
2000,7.1509,9.2291
2000,8.4769,6.9778
2000,3.1737,7.6071
2000,3.7002,8.8300
3000,3.8323,8.1491
3000,0.6719,4.0880
3000,6.7153,0.6056
3000,3.4454,5.7926
3000,9.6027,5.9236
3000,5.6759,3.2780
3000,9.2097,8.6435
3000,0.1616,7.4556
3000,1.0617,3.1587
3000,1.2768,5.3014
3000,0.8264,1.5982
3000,8.4756,6.1789
3000,4.3162,0.2400
3000,3.1596,9.5585
3000,2.5578,0.2459
3000,7.1177,4.5289
3000,4.8685,1.4755
3000,5.6610,5.2761
3000,0.5860,6.0552
3000,8.5165,3.9032
3000,7.3223,9.4816
3000,4.8754,2.4224
3000,9.1601,0.0560
3000,4.9397,9.5777
3000,9.6009,9.7527
3000,2.2220,9.6141
3000,7.4721,7.4077
3000,3.4897,3.7023
3000,6.6463,1.5706
3000,1.9809,3.3371
3000,0.6346,8.5942
3000,2.1928,5.1162
3000,5.5288,0.4704
3000,7.2914,2.8721
3000,8.7897,1.8218
3000,5.7135,2.2466
3000,9.2126,6.8558
3000,0.0441,5.1807
3000,1.4631,7.8056
3000,4.9634,6.9867
4000,6.8734,9.7944
4000,0.8165,0.8681
4000,9.2755,4.8078
4000,3.0107,1.1553
4000,9.9721,8.9423
4000,6.1985,3.4124
4000,9.9774,7.2152
4000,2.2405,8.0335
4000,2.8994,9.7113
4000,0.1325,5.1997
4000,0.0349,3.2453
4000,4.5351,0.3773
4000,9.3770,1.7055
4000,0.7691,8.5255
4000,9.9811,5.3085
4000,5.8555,9.3620
4000,5.8487,8.1999
4000,7.7522,5.4020
4000,2.2079,5.2242
4000,4.9632,5.7311
4000,7.9208,9.6139
4000,2.1536,0.7314
4000,6.7305,1.6826
4000,2.5498,3.5113
4000,8.4905,8.3131
4000,4.8955,6.6322
4000,8.5371,0.1692
4000,3.0657,5.8803
4000,4.7604,9.1308
4000,7.7077,1.2227
4000,7.8300,6.5483
4000,4.9348,2.9991
4000,7.1132,0.4743
4000,6.8266,6.9007
4000,5.6952,2.4120
4000,9.4760,2.6645
4000,8.6980,3.8460
4000,0.0120,6.2350
4000,0.0193,8.0139
4000,4.9938,4.8158
5000,5.3440,8.7786
5000,6.0545,4.0091
5000,1.1421,6.1269
5000,7.0769,0.6253
5000,4.3847,8.0366
5000,4.7835,2.1283
5000,8.8754,7.3681
5000,9.6756,7.0812
5000,0.2666,4.4783
5000,3.4247,0.9865
5000,6.9984,2.9644
5000,3.1874,9.9664
5000,9.1221,9.6968
5000,3.4742,3.8533
5000,4.3167,5.2296
5000,7.3975,6.6595
5000,9.9195,8.2148
5000,5.5657,7.8851
5000,4.7567,3.2819
5000,0.0166,7.8839
5000,8.2081,6.1126
5000,9.6271,6.0529
5000,0.5964,2.4803
5000,2.8094,6.8524
5000,4.5207,6.6983
5000,1.7246,8.4624
5000,7.8983,2.3329
5000,7.0234,1.4067
5000,2.5461,3.1117
5000,8.7919,4.3342
5000,9.1095,3.1804
5000,1.5951,4.3122
5000,9.6402,3.8219
5000,4.5177,9.4276
5000,1.8441,0.2810
5000,5.4103,6.7970
5000,7.4575,4.8081
5000,5.7648,6.0070
5000,1.7643,9.8228
5000,0.4458,9.0983
6000,6.6576,6.6139
6000,8.9993,0.4026
6000,2.0275,8.8500
6000,1.5466,9.8379
6000,1.8207,3.0841
6000,5.6651,1.5422
6000,8.7104,8.7115
6000,6.9087,7.9687
6000,8.3143,6.9788
6000,3.6018,2.5655
6000,4.7304,1.9038
6000,4.1452,6.3686
6000,9.4032,4.6056
6000,1.3983,4.1527
6000,1.4621,0.7194
6000,3.4574,7.6615
6000,8.3291,6.0140
6000,5.5516,6.6445
6000,4.3912,3.6223
6000,0.4643,9.8274
6000,9.9921,8.7374
6000,9.9092,9.6983
6000,0.0412,2.8402
6000,9.6930,6.3723
6000,2.4658,7.0061
6000,2.6049,4.0901
6000,7.6248,0.7905
6000,8.6102,2.6462
6000,5.1329,8.4537
6000,3.9966,0.3489
6000,5.3272,7.4814
6000,2.3622,5.3299
6000,5.5945,0.3639
6000,6.8944,9.6968
6000,8.2101,3.7772
6000,3.0907,9.7226
6000,7.8792,8.9333
6000,5.4389,3.3429
6000,9.3885,1.9164
6000,0.9539,2.5538
7000,7.9849,1.1513
7000,1.3386,3.2827
7000,3.1332,7.1096
7000,2.2999,8.0904
7000,6.6850,4.5197
7000,5.7040,0.3673
7000,5.7345,9.5691
7000,0.6159,3.7636
7000,1.9476,5.8700
7000,6.2704,6.1462
7000,5.8464,8.1521
7000,4.6440,3.4019
7000,9.5746,4.6969
7000,0.3607,2.2394
7000,1.4590,9.7078
7000,1.6033,8.4770
7000,4.8582,4.9525
7000,7.3300,8.5090
7000,5.8420,2.8567
7000,4.4296,1.9606
7000,7.8962,9.9169
7000,6.7464,1.2077
7000,1.1294,0.1804
7000,2.5829,4.2310
7000,3.6306,6.1389
7000,0.4840,5.7290
7000,2.7053,1.6456
7000,8.6102,2.6462
7000,1.6827,7.1583
7000,1.9022,1.6858
7000,7.9944,4.2936
7000,8.1843,6.0799
7000,6.6557,0.2774
7000,4.5851,7.9787
7000,4.6652,8.8138
7000,3.5214,4.1534
7000,7.7715,7.0977
7000,3.9458,0.4928
7000,8.5105,0.2984
7000,8.6290,7.9507
8000,9.6872,4.4698
8000,0.4638,9.3934
8000,7.0432,0.8308
8000,6.0965,9.2774
8000,6.4723,5.4594
8000,9.7717,0.1448
8000,8.3272,4.9817
8000,0.4537,4.3147
8000,4.9103,9.5140
8000,5.5966,6.0234
8000,3.8461,8.0032
8000,8.7837,0.9419
8000,1.2041,7.0107
8000,2.9255,2.2588
8000,3.2356,9.0487
8000,1.6643,9.9853
8000,6.8055,2.8470
8000,7.6835,9.6943
8000,6.1619,4.4747
8000,8.8354,7.5642
8000,6.8132,6.6272
8000,7.6424,2.0389
8000,3.4440,5.0474
8000,3.9551,6.1452
8000,5.5046,2.3360
8000,1.3803,3.4996
8000,4.8008,3.0822
8000,1.0525,2.1710
8000,8.8236,4.0466
8000,5.5769,7.3181
8000,9.7327,5.5387
8000,8.1420,3.3951
8000,4.8927,8.5291
8000,0.1730,8.1980
8000,3.7172,4.1295
8000,2.5246,4.2350
8000,2.9303,5.8880
8000,1.0644,0.8038
8000,9.8611,1.9006
8000,8.8021,5.8846
9000,2.0319,2.9027
9000,2.4466,5.6666
9000,7.1946,0.4098
9000,7.0746,5.4506
9000,0.7717,4.7881
9000,9.8592,0.0881
9000,3.0262,0.7070
9000,5.7476,6.6655
9000,6.5296,8.6812
9000,7.8665,9.7042
9000,2.2642,1.3298
9000,8.3941,2.8259
9000,2.1565,3.7873
9000,2.9670,2.4119
9000,8.0070,4.9425
9000,1.2617,5.6026
9000,9.2045,3.9515
9000,5.9633,9.6394
9000,7.5257,3.8444
9000,4.3400,9.7103
9000,7.0249,7.5097
9000,5.4947,1.8927
9000,9.5524,8.7970
9000,3.9568,7.9057
9000,7.5289,2.0892
9000,5.0829,3.2349
9000,3.1809,3.6181
9000,4.0841,1.8691
9000,3.6126,7.2077
9000,4.5807,5.9587
9000,6.7139,3.8431
9000,7.7564,8.8217
9000,8.4262,1.4536
9000,0.5142,5.9205
9000,2.2925,9.5691
9000,5.5675,4.1325
9000,0.9054,9.3094
9000,4.3438,4.2061
9000,8.9123,0.4010
9000,8.9178,7.9676
10000,2.8001,1.2068
10000,3.6051,5.3415
10000,2.4270,7.4459
10000,7.3485,2.6236
10000,2.0689,8.3949
10000,4.9871,0.3525
10000,9.1385,2.0939
10000,8.7745,3.0159
10000,7.5024,8.3425
10000,3.9255,1.2360
10000,2.7084,5.3141
10000,4.3569,6.4479
10000,1.5191,4.3003
10000,2.5412,2.3109
10000,0.9137,5.0374
10000,0.4018,6.8281
10000,0.1255,1.3813
10000,8.5087,8.3627
10000,3.1866,6.6157
10000,6.2960,7.7157
10000,9.7310,6.1066
10000,4.2879,7.6165
10000,4.2754,4.4179
10000,7.5421,9.4116
10000,4.4481,8.9960
10000,5.4420,2.2870
10000,3.1468,3.5895
10000,1.2628,3.3686
10000,1.3738,7.0470
10000,6.6981,1.2907
10000,6.7409,3.2633
10000,8.3397,4.0502
10000,0.2053,3.9066
10000,1.5193,2.5357
10000,0.5681,9.8590
10000,7.6216,7.2815
10000,1.9931,9.4805
10000,2.6482,4.3482
10000,6.9134,5.3784
10000,3.5851,8.5828
11000,6.1621,2.0305
11000,0.9325,3.8603
11000,6.1284,2.9277
11000,5.8104,5.7156
11000,1.5903,8.7006
11000,9.0463,0.7360
11000,2.7519,8.3155
11000,1.1127,0.0424
11000,6.4531,9.3576
11000,7.9032,0.6136
11000,0.0790,5.6795
11000,1.1543,6.2834
11000,4.6518,4.1413
11000,5.0172,4.9100
11000,2.1910,2.9300
11000,0.3303,6.8836
11000,0.6821,1.6310
11000,6.0994,4.2139
11000,3.7669,2.0028
11000,0.0853,2.9176
11000,0.2607,8.2325
11000,2.0683,5.6971
11000,8.9939,3.5701
11000,4.2069,9.3458
11000,5.7645,6.5210
11000,8.1645,5.6310
11000,7.8988,1.5622
11000,3.5271,4.2065
11000,1.6160,7.4455
11000,2.1348,1.6465
11000,8.8817,8.9506
11000,4.1062,7.6362
11000,3.2811,3.1676
11000,4.2623,1.2446
