STEP,X,Y
0,1.7534,8.3574
0,6.0545,9.1051
0,2.3499,7.3792
0,5.9844,0.2931
0,0.6089,2.0943
0,0.7859,9.7397
0,9.1503,8.2520
0,1.5913,5.8560
0,8.5253,7.5264
0,1.2321,1.2393
0,5.3451,2.8447
0,1.3651,9.3572
0,0.7669,4.5436
0,1.3645,0.5896
0,8.6326,5.6721
0,6.9082,0.3860
0,4.0294,2.9627
0,9.4911,6.3794
0,0.3419,5.4755
0,6.6724,0.9508
0,7.5698,7.4584
0,0.6905,6.7201
0,5.7104,2.2817
0,2.5761,4.2357
0,9.6281,3.0761
0,5.4750,5.1532
0,6.6528,6.8401
0,4.5105,7.4197
0,1.3837,5.8750
0,8.0093,0.0163
0,1.5471,4.9175
0,0.4023,5.5765
0,7.8802,9.8934
0,1.9559,8.2221
0,5.3690,8.6283
0,9.1729,2.9387
0,6.0867,9.8633
0,9.6588,1.7971
0,2.1451,2.2349
0,6.0328,1.9532
1000,6.1116,7.6536
1000,0.7234,7.9959
1000,4.8434,6.1045
1000,1.3270,2.5246
1000,6.5754,1.5028
1000,7.2454,2.2961
1000,2.6927,5.3738
1000,9.0043,3.3964
1000,3.7806,2.5136
1000,3.2024,6.2070
1000,9.4990,5.9851
1000,6.7479,0.2529
1000,1.0294,0.2087
1000,5.9957,1.4175
1000,7.5227,1.0306
1000,2.9695,4.4622
1000,8.2489,7.4943
1000,0.0340,7.3153
1000,3.6162,7.0014
1000,8.0901,4.4082
1000,9.9913,4.8107
1000,6.4657,6.4010
1000,6.9363,8.4804
1000,8.5837,0.6051
1000,3.2394,5.3592
1000,0.1473,2.9212
1000,0.2257,3.3380
1000,4.8392,9.3783
1000,8.4467,2.0303
1000,0.7314,9.3855
1000,1.3128,8.2910
1000,6.3703,0.8394
1000,3.0183,8.3357
1000,9.2009,0.6932
1000,6.0475,5.6941
1000,0.8328,1.4735
1000,7.2605,2.8208
1000,5.1964,7.0896
1000,5.3799,6.0647
1000,6.5454,9.6774
2000,1.5343,7.5095
2000,0.9675,7.1587
2000,5.7582,8.4542
2000,4.0953,8.6888
2000,9.2033,2.8629
2000,3.2953,1.4982
2000,6.4893,2.4399
2000,0.2209,5.3018
2000,7.8962,3.8191
2000,6.5477,8.6306
2000,8.0705,4.3063
2000,0.1804,7.3625
2000,6.2388,7.9783
2000,7.7167,7.9254
2000,5.9546,5.5433
2000,3.7460,9.7565
2000,9.8199,0.5327
2000,7.4054,3.1534
2000,6.4121,0.5967
