STEP,X,Y,Z
0,7.8560,4.4018,1.1512
1,8.2354,6.8839,1.2993
2,3.1117,5.1652,6.4201
3,4.9103,0.8533,4.1418
4,2.8601,0.8769,3.6504
5,4.8035,6.3947,1.3023
6,7.7718,8.9496,8.1924
7,6.0178,3.7799,8.9462
8,1.9701,1.8559,9.4670
9,7.7671,0.3195,6.8162
10,8.0943,8.1755,1.2180
11,9.2455,6.4110,8.1019
12,0.5448,9.5226,3.2671
13,6.9648,4.4330,4.1203
14,1.1066,7.2930,4.9972
15,4.7570,2.0966,1.3919
16,6.0593,9.8684,0.3416
17,4.2517,5.8862,4.1215
18,3.1979,7.8563,5.9775
19,2.6649,5.6234,6.2970
20,9.4811,3.7177,4.4725
21,0.6990,2.9632,0.8835
22,8.8009,3.5079,0.4062
23,2.0680,0.4728,4.8391
24,6.1884,1.5794,2.1322
25,1.1856,6.3364,4.2288
26,2.5776,2.3957,4.0972
27,2.9191,6.6474,9.9834
28,7.0407,9.8453,7.8397
29,3.0181,2.5102,3.4631
30,9.3151,1.9913,7.1807
31,3.7877,2.6903,0.1439
32,4.6712,1.4913,3.6518
33,5.0774,3.5593,4.1246
34,9.9165,9.7477,5.7040
35,2.0487,0.9333,2.0404
36,6.2774,3.5108,4.4361
37,0.3746,6.4300,1.0835
38,0.3580,3.4706,0.9288
39,8.1977,6.4887,3.4390
0,7.5688,3.8270,5.1541
1,8.2354,6.8839,1.2992
2,2.9968,5.0295,4.8407
3,5.4602,3.5211,1.9188
4,2.6782,5.9543,3.0441
5,1.5012,6.2918,2.6485
6,4.4687,3.2234,2.9268
7,7.8469,3.5924,3.9634
8,0.5445,5.9783,4.9735
9,7.7425,3.3266,2.6672
10,8.9834,7.3157,2.5404
11,7.2796,6.8072,1.9349
12,1.4237,5.0145,4.5161
13,6.9648,4.4330,4.1203
14,0.9972,7.0154,4.9462
15,5.2188,2.5649,3.5701
16,6.8156,2.9987,2.0254
17,6.9241,4.2536,2.8155
18,1.9933,7.1721,3.0574
19,0.4413,4.7204,4.1841
20,6.4333,4.8742,5.0407
21,0.8909,5.2812,2.1221
22,8.6713,4.0811,4.4925
23,1.8595,5.7841,1.4542
24,6.4348,5.4123,3.9478
25,1.6139,6.1771,4.2073
26,3.8873,3.0827,4.6387
27,6.4486,3.3184,2.9744
28,9.5370,4.0637,3.6887
29,5.9675,2.6265,4.8648
30,6.0468,1.6529,4.3538
31,7.6256,4.8550,4.9810
32,4.6712,1.4913,3.6518
33,5.0773,3.5593,4.1246
34,6.7721,7.9792,2.9254
35,2.2201,5.2311,3.7264
36,6.2774,3.5108,4.4361
37,0.4394,6.3770,1.9968
38,0.5368,3.1750,2.2731
39,8.0672,6.8150,2.7650
0,7.5687,3.8270,5.1541
1,8.0198,5.3191,2.4792
2,2.9967,5.0295,4.8407
3,5.5033,3.5593,2.6564
4,2.6781,5.9543,3.0441
5,1.2165,5.9679,2.9360
6,4.4554,3.2047,2.9326
7,7.7045,3.7557,3.8092
8,0.3872,6.8534,3.2307
9,7.7424,3.3266,2.6671
10,7.6864,5.9240,4.1654
11,7.9681,6.0127,5.3495
12,1.4237,5.0145,4.5161
13,6.9648,4.4329,4.1203
14,1.2486,7.4199,3.9524
15,5.3211,2.5265,3.5624
16,6.6444,3.0286,5.6515
17,6.7470,4.1640,2.9285
18,1.9933,7.1721,3.0574
19,0.3243,5.2039,3.8596
20,6.4167,4.8358,4.9417
21,2.2907,4.4545,2.8742
22,8.3671,4.1861,4.5339
23,4.0366,5.3876,4.0122
24,6.4347,5.4123,3.9477
25,1.6139,6.1771,4.2073
26,3.9270,3.1592,4.5293
27,6.8270,3.1549,3.3311
28,8.7389,4.9291,5.3232
29,5.9675,2.6265,4.8648
30,6.1570,1.7370,3.2267
31,7.6256,4.8549,4.9810
32,3.9749,4.1443,4.9886
33,5.0534,3.5183,4.1374
34,5.3175,5.3444,4.0682
35,2.2201,5.2311,3.7263
36,6.2616,3.5473,4.4066
37,0.4394,6.3770,1.9968
38,4.4204,4.2475,3.9649
39,5.2081,4.2473,5.0854
0,7.5687,3.8269,5.1541
1,8.7476,4.2184,3.4525
2,3.0835,4.8308,4.5874
3,5.6421,3.5091,3.0034
4,2.6614,5.9592,3.0231
5,1.3814,6.0376,3.0965
6,4.5452,3.2021,3.2528
7,7.7044,3.7557,3.8092
8,0.3872,6.8533,3.2307
9,7.7571,3.7003,2.7029
10,7.7578,5.2450,3.2255
11,5.9508,6.3458,3.0512
12,1.4353,5.0318,4.5313
13,6.9647,4.4329,4.1203
14,1.2486,7.4198,3.9524
15,5.3211,2.5264,3.5624
16,5.4056,4.5806,3.0367
17,6.7469,4.1639,2.9285
18,1.9717,7.1091,3.1393
19,0.2603,5.7350,3.8682
20,6.4170,4.8494,4.9524
21,4.6960,5.8720,2.8512
22,8.3671,4.1861,4.5339
23,3.9563,5.3226,3.7232
24,6.3123,5.3065,3.5996
25,1.6266,6.1855,4.1469
26,4.0273,3.2348,4.4823
27,6.8270,3.1549,3.3311
28,8.7214,4.9266,5.3023
29,5.8986,2.4910,4.5827
30,6.6690,4.2203,6.0846
31,7.6256,4.8549,4.9810
32,4.0031,4.2500,4.9157
33,5.0534,3.5183,4.1374
34,5.3175,5.3444,4.0682
35,2.2201,5.2311,3.7263
36,6.2616,3.5473,4.4066
37,0.4394,6.3770,1.9968
38,4.4442,4.3220,3.9122
39,5.2080,4.2473,5.0854
0,7.5136,3.8466,5.0541
1,8.7518,4.2183,3.4324
2,3.1315,4.4778,3.9709
3,5.6651,3.5028,3.0059
4,2.6614,5.9591,3.0231
5,1.3760,6.0089,3.0999
6,4.5102,3.2191,3.1305
7,7.7044,3.7556,3.8091
8,0.3872,6.8533,3.2307
9,7.7571,3.7003,2.7029
10,7.7075,5.1938,3.7726
11,5.9508,6.3457,3.0512
12,1.4356,5.0311,4.4632
13,6.9647,4.4329,4.1203
14,1.2486,7.4198,3.9524
15,5.3210,2.5264,3.5624
16,5.4056,4.5806,3.0366
17,6.7305,4.2030,2.9614
18,2.0300,6.9387,3.4128
19,0.3567,5.7565,3.8072
20,6.4169,4.8494,4.9524
21,4.6845,5.9028,3.0450
22,8.3670,4.1861,4.5338
23,3.9563,5.3226,3.7232
